Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,4096,SA,4916.4,1.3193606E8,1.0,0.99999
5,4096,SA,4948.4,1.336426E8,10.0,0.9
5,4096,SA,4949.0,1.314492E8,10.0,0.99
5,4096,SA,4942.2,1.3403384E8,10.0,0.999
5,4096,SA,4892.0,1.3535126E8,10.0,0.9999
5,4096,SA,4891.2,1.3373554E8,10.0,0.99999
5,4096,SA,4949.8,1.3287938E8,100.0,0.9
5,4096,SA,4948.2,1.3261164E8,100.0,0.99
5,4096,SA,4912.4,1.3255424E8,100.0,0.999
5,4096,SA,4883.0,1.3406338E8,100.0,0.9999
5,4096,SA,4883.4,1.3308714E8,100.0,0.99999
5,4096,SA,4948.4,1.3201932E8,1000.0,0.9
5,4096,SA,4948.0,1.4263662E8,1000.0,0.99
5,4096,SA,4884.8,1.3863266E8,1000.0,0.999
5,4096,SA,4878.8,1.3427966E8,1000.0,0.9999
5,4096,SA,4881.6,1.3477844E8,1000.0,0.99999
5,4096,SA,4949.2,1.319638E8,10000.0,0.9
5,4096,SA,4948.2,1.3318312E8,10000.0,0.99
5,4096,SA,4880.6,1.3584242E8,10000.0,0.999
5,4096,SA,4891.0,1.334673E8,10000.0,0.9999
5,4096,SA,4877.8,1.331804E8,10000.0,0.99999
5,4096,SA,4949.0,1.3296524E8,100000.0,0.9
5,4096,SA,4948.0,1.3127772E8,100000.0,0.99
5,4096,SA,4878.8,1.3308298E8,100000.0,0.999
5,4096,SA,4889.0,1.3319456E8,100000.0,0.9999
5,4096,SA,4881.0,1.326208E8,100000.0,0.99999
